LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,mci,ndci,nbi,y,x
3,0.369,0.0252,0.0268,0.0471,0.101137646,7.79E-08,5.83E-06,0.3967,0.3874,0.1213,0.0489,0.0215,0.079,0.2792,0.3641,-0.440617577,-0.302904564,-0.109730849,0.872146119,0.680184961,0.872146119,-0.773612112,4.670886076,0.516314779,-0.505200897,-2392465,3869655
3,0.3799,0.0297,0.0292,0.0549,0.1284692,2.21E-07,7.74E-06,0.4022,0.3713,0.135,0.056,0.0323,0.0857,0.2788,0.3737,-0.421800948,-0.29787234,0.050406504,0.854980469,0.68706594,0.854980469,-0.747470101,4.432905484,0.485268631,-0.475626335,-2392505,3869635
2,0.4536,0.0565,0.0498,0.0865,0.1053719,1.98E-07,5.96E-06,0.4501,0.3655,0.2477,0.1392,0.0648,0.129,0.3572,0.4257,-0.482345901,-0.20979021,0.130890052,0.778474809,0.759284053,0.778474809,-0.679688946,3.51627907,0.39083558,-0.293597604,-2392825,3870185
2,0.3383,0.0796,0.0677,0.0903,0.103145026,1.94E-07,5.01E-06,0.3445,0.3792,0.2752,0.2059,0.103,0.1689,0.2923,0.3329,-0.505882353,-0.062978222,0.206795548,0.619047619,0.585674426,0.619047619,-0.578628091,2.002960332,0.359356137,-0.102852486,-2392605,3870435
2,0.3482,0.0879,0.062,0.0995,0.10701782,2.58E-07,4.99E-06,0.3804,0.3663,0.2935,0.2223,0.0882,0.1902,0.321,0.3621,-0.493638677,-0.06189968,0.174434088,0.596881449,0.554799376,0.596881449,-0.555505919,1.830704522,0.36785329,-0.085242325,-2392385,3870565
4,0.1368,0.0363,0.0317,0.0405,0.06000933,1.32E-06,9.01E-06,0.1438,0.2224,0.0717,0.0406,0.0335,0.0646,0.1113,0.1345,-0.278074866,-0.0546875,0.027607362,0.580589255,0.273716256,0.580589255,-0.543147208,2.117647059,0.280475719,-0.312230216,-2391845,3871135
4,0.3067,0.0279,0.031,0.0543,0.07869843,1.95E-07,5.54E-06,0.3211,0.2592,0.0981,0.0436,0.035,0.0931,0.2611,0.3037,-0.287401575,-0.321167883,0.060606061,0.833233712,0.59507893,0.833233712,-0.699168975,3.294307197,0.538842975,-0.515316206,-2391725,3870985
4,0.2797,0.0245,0.0246,0.0467,0.041041266,1.26E-07,3.21E-06,0.3045,0.3083,0.1026,0.0441,0.0244,0.0808,0.2359,0.2786,-0.374413932,-0.311797753,-0.004081633,0.838921762,0.543189502,0.838921762,-0.713848039,3.461633663,0.534662868,-0.463248758,-2391925,3871065
3,0.2819,0.0994,0.0647,0.0973,0.104203574,1.44E-07,6.52E-06,0.3188,0.3364,0.2817,0.1885,0.0679,0.1625,0.2669,0.2959,-0.486543536,0.010676157,0.02413273,0.478625754,0.434550088,0.478625754,-0.486814346,1.734769231,0.240931653,-0.000354862,-2391335,3871565
3,0.3178,0.1489,0.1033,0.1487,0.07453339,1.52E-07,3.85E-06,0.3284,0.2727,0.2755,0.2031,0.0811,0.2119,0.2923,0.305,-0.298915606,0.000672043,-0.120390456,0.361902721,0.449441331,0.361902721,-0.362486602,1.49976404,0.174611973,-0.07129614,-2391405,3871995
1,0.2747,0.0945,0.0709,0.1022,0.14621797,4.45E-07,9.41E-06,0.2756,0.2175,0.1673,0.1094,0.0813,0.171,0.2279,0.2636,-0.241558442,-0.039145907,0.068331143,0.48808234,0.452116493,0.48808234,-0.457681083,1.606432749,0.288135593,-0.242986425,-2391415,3872065
3,0.3031,0.1353,0.1004,0.1302,0.1056609,2.63E-07,5.66E-06,0.3012,0.3025,0.2551,0.1987,0.089,0.1819,0.2676,0.2936,-0.32416299,0.01920904,-0.060190074,0.382755474,0.457045304,0.382755474,-0.399030695,1.666300165,0.146910467,-0.085990684,-2391625,3872655
6,0.2978,0.0836,0.0566,0.0886,0.12553065,7.71E-07,7.47E-06,0.3165,0.3159,0.2354,0.1631,0.0716,0.1527,0.2614,0.2874,-0.45308642,-0.029036005,0.11700468,0.561615102,0.480689505,0.561615102,-0.541407867,1.950229208,0.292424884,-0.117029257,-2391835,3873245
3,0.3357,0.1414,0.1168,0.1476,0.14073679,4.81E-07,5.70E-06,0.3981,0.4145,0.3227,0.2655,0.0797,0.2604,0.3524,0.3783,-0.372315543,-0.021453287,-0.188804071,0.407252148,0.533483679,0.407252148,-0.389199255,1.289170507,0.296167247,-0.019744836,-2393345,3877175
12,0.375,0.0917,0.0759,0.1103,0.11012995,1.34E-07,5.73E-06,0.406,0.4404,0.2418,0.1447,0.0478,0.1446,0.3248,0.3822,-0.373473445,-0.092079208,-0.22716249,0.607028069,0.623769313,0.607028069,-0.545435813,2.593360996,0.223867964,-0.215953307,-2393755,3877135
12,0.4558,0.0583,0.0493,0.0873,0.10100399,1.71E-07,5.19E-06,0.457,0.4359,0.2441,0.15,0.0673,0.1544,0.371,0.4365,-0.473144237,-0.199175824,0.154373928,0.773195876,0.753003447,0.773195876,-0.678512245,2.952072539,0.451810061,-0.302471782,-2393885,3877135
12,0.4315,0.0968,0.0856,0.1208,0.13319972,1.90E-07,6.08E-06,0.4765,0.4325,0.2654,0.1655,0.0719,0.1684,0.3833,0.4482,-0.3744174,-0.110294118,-0.086984127,0.633541548,0.716594906,0.633541548,-0.562556582,2.562351544,0.269984917,-0.238341225,-2393945,3877125
2,0.3771,0.0585,0.0485,0.0818,0.08692379,1.42E-07,5.72E-06,0.3982,0.3901,0.2471,0.1436,0.0729,0.1284,0.304,0.3591,-0.502584372,-0.166072701,0.200988468,0.731404959,0.648110822,0.731404959,-0.643495315,2.936915888,0.37399679,-0.208266581,-2394305,3877065
1,0.3984,0.0464,0.0402,0.0652,0.09589244,1.44E-07,5.45E-06,0.4172,0.424,0.1826,0.0962,0.053,0.1,0.3065,0.3802,-0.473769169,-0.168458781,0.137339056,0.791366906,0.690467534,0.791366906,-0.718723037,3.984,0.366120219,-0.371428571,-2394525,3877095
3,0.4127,0.0497,0.0452,0.0784,0.094016925,7.48E-08,5.26E-06,0.4223,0.3798,0.1987,0.1024,0.0623,0.1166,0.3233,0.3923,-0.4341393,-0.224043716,0.159069767,0.785034602,0.715832058,0.785034602,-0.680716758,3.539451115,0.402285027,-0.350016356,-2394685,3877365
3,0.3715,0.0525,0.043,0.0747,0.10045773,1.70E-07,5.30E-06,0.3907,0.4281,0.2443,0.1425,0.0509,0.161,0.3146,0.366,-0.531661442,-0.174528302,0.084132055,0.752358491,0.642412023,0.752358491,-0.665172568,2.307453416,0.508196721,-0.206560572,-2394485,3877435
12,0.4763,0.0346,0.0358,0.0626,0.08800608,1.08E-07,4.76E-06,0.4856,0.3993,0.2075,0.1045,0.0603,0.104,0.3654,0.4601,-0.536467975,-0.288065844,0.254942768,0.86455275,0.81683623,0.86455275,-0.767674893,4.579807692,0.500721501,-0.393097397,-2394315,3877495
12,0.3374,0.1039,0.0845,0.1131,0.11575111,2.24E-07,6.25E-06,0.3785,0.3885,0.2579,0.1699,0.0594,0.1525,0.3016,0.3524,-0.390296496,-0.042396313,-0.174426685,0.529118513,0.557326401,0.529118513,-0.497891232,2.212459016,0.189547582,-0.133546111,-2394345,3877635
